lagoslakeid,lake_rsvr_class
1,RSVR
2,NL
3,NL
4,NL
5,NL
6,RSVR
7,NL
8,RSVR
9,NL
10,RSVR
11,RSVR
12,NL
13,NL
14,RSVR
15,RSVR
16,RSVR
17,NL
18,RSVR
19,RSVR
20,NL
21,RSVR
22,NL
23,NL
24,NL
25,NL
26,NL
27,NL
28,NL
29,RSVR
30,NL
31,NL
32,NL
33,RSVR
34,NL
35,NL
36,RSVR
37,NL
38,RSVR
39,NL
40,NL
41,NL
42,NL
44,RSVR
45,NL
46,RSVR
47,RSVR
48,RSVR
49,RSVR
50,NL
51,NL
52,RSVR
53,NL
54,NL
55,NL
56,RSVR
57,RSVR
59,NL
60,RSVR
61,RSVR
62,NL
63,RSVR
64,NL
65,NL
67,NL
68,NL
69,RSVR
70,RSVR
71,RSVR
72,NL
73,RSVR
74,NL
75,NL
78,NL
79,NL
80,NL
81,RSVR
82,NL
83,NL
84,RSVR
85,NL
87,NL
88,RSVR
90,NL
93,RSVR
94,NL
95,NL
96,NL
97,RSVR
98,NL
99,NL
100,NL
101,NL
102,NL
103,NL
104,RSVR
105,RSVR
106,NL
107,NL
108,NL
109,NL
110,RSVR
111,NL
113,NL
114,NL
115,NL
116,RSVR
117,NL
118,NL
119,NL
120,NL
121,NL
122,RSVR
123,NL
124,NL
125,NL
126,NL
127,NL
128,NL
130,RSVR
131,RSVR
132,NL
133,RSVR
134,NL
135,NL
136,RSVR
137,RSVR
139,NL
140,NL
141,NL
142,NL
143,RSVR
144,RSVR
146,NL
147,RSVR
148,RSVR
149,NL
150,RSVR
151,RSVR
152,RSVR
154,NL
155,RSVR
156,RSVR
157,NL
159,NL
160,NL
161,NL
162,NL
163,NL
164,NL
165,NL
166,RSVR
167,NL
168,NL
169,NL
170,NL
171,RSVR
172,NL
173,NL
174,RSVR
176,NL
178,NL
179,NL
180,RSVR
181,RSVR
182,NL
183,NL
184,NL
185,RSVR
186,NL
187,RSVR
188,NL
189,NL
191,NL
192,NL
193,RSVR
194,NL
195,NL
196,NL
197,RSVR
198,NL
199,NL
200,NL
201,RSVR
203,NL
204,NL
205,NL
206,NL
207,NL
208,NL
209,RSVR
210,NL
211,NL
212,NL
213,RSVR
215,RSVR
216,NL
217,RSVR
218,NL
219,RSVR
221,NL
222,NL
223,RSVR
224,NL
225,RSVR
226,NL
227,NL
228,NL
229,NL
230,NL
231,NL
232,NL
233,RSVR
234,RSVR
235,NL
236,NL
237,NL
239,NL
240,RSVR
241,NL
242,NL
243,NL
245,NL
246,RSVR
248,NL
249,RSVR
250,NL
251,NL
252,NL
253,NL
254,NL
255,RSVR
256,NL
257,RSVR
258,NL
259,RSVR
260,RSVR
261,RSVR
262,NL
263,NL
264,NL
265,NL
266,NL
267,NL
269,RSVR
270,NL
271,NL
272,NL
273,NL
274,NL
275,NL
277,NL
279,NL
280,NL
281,RSVR
282,NL
283,NL
284,NL
285,RSVR
286,NL
290,RSVR
291,NL
292,NL
293,NL
294,RSVR
295,RSVR
296,NL
297,NL
298,RSVR
299,NL
301,NL
302,NL
303,NL
304,RSVR
305,RSVR
306,NL
307,NL
308,RSVR
309,RSVR
310,RSVR
311,NL
312,RSVR
313,NL
314,NL
315,RSVR
316,RSVR
317,NL
318,RSVR
320,RSVR
321,NL
322,RSVR
323,NL
324,NL
325,NL
327,NL
328,RSVR
329,RSVR
330,NL
331,NL
332,RSVR
333,NL
334,NL
335,RSVR
336,NL
338,RSVR
339,NL
340,NL
341,NL
342,RSVR
343,RSVR
345,RSVR
346,NL
348,RSVR
349,NL
350,NL
352,RSVR
353,RSVR
354,NL
356,NL
358,NL
359,NL
360,RSVR
361,NL
