Freshwater network connectivity scores and statistics and protection status of networks and hub lakes in the conterminous US,,,,,,,,,,,,,,,,,
,,,,,,,,,,Network protection,,,,Hub protection,,,
Network ID^,Rank,Score,Level,Ecoregion,Lakes,Hubs,Dams,Dam rate*,North-South distance (km),"Strict, lake center","Strict + multi-use, lake center","Strict, 80% watershed","Strict + multi-use, 80% watershed","Strict, lake center","Strict + multi-use, lake center","Strict, 80% watershed","Strict + multi-use, 80% watershed"
3,1,12.02,High,WMT,2027,42,954,47.10%,"1,330.34",41.10%,68.90%,39.10%,72.60%,26.20%,83.30%,26.20%,76.20%
52,2,9.49,High,SPL,536,13,388,72.40%,"1,312.70",17.20%,30.40%,11.20%,30.00%,0.00%,23.10%,0.00%,30.80%
34,3,8.1,High,WMT,2397,55,915,38.20%,820.36,36.30%,67.00%,32.50%,67.00%,12.70%,43.60%,16.40%,47.30%
59,4,6.7,High,WMT,1780,49,484,27.20%,629.52,52.90%,65.30%,51.50%,62.40%,46.90%,59.20%,42.90%,46.90%
50,5,6.21,High,SPL,1529,22,1273,83.30%,611.93,1.80%,2.40%,0.90%,1.00%,22.70%,22.70%,9.10%,9.10%
10,6,5.67,High,NAP,2659,71,1099,41.30%,505.4,5.30%,11.70%,11.90%,15.80%,12.70%,19.70%,4.20%,9.90%
2,7,5.19,High,CPL,3241,72,1760,54.30%,491.73,1.80%,2.70%,0.60%,1.20%,6.90%,6.90%,0.00%,0.00%
90,8,5.19,High,SAP,420,9,372,88.60%,238.12,5.20%,11.70%,5.50%,10.00%,11.10%,33.30%,11.10%,22.20%
36,9,4.94,High,CPL,1076,38,268,24.90%,245.86,0.50%,1.20%,0.00%,0.20%,2.60%,7.90%,0.00%,0.00%
11,10,4.84,High,UMW,754,16,250,33.20%,380.41,17.10%,23.90%,3.30%,4.40%,18.80%,18.80%,6.30%,12.50%
15,11,4.4,High,SAP,765,24,424,55.40%,173.63,2.70%,5.20%,0.70%,3.00%,0.00%,8.30%,0.00%,0.00%
106,12,4.03,High,XER,15,0,0,0.00%,29.3,6.70%,53.30%,0.00%,20.00%,NA,NA,NA,NA
95,13,4.01,High,XER,21,1,43,204.80%,146.39,28.60%,47.60%,23.80%,76.20%,0.00%,0.00%,0.00%,100.00%
6,14,3.67,Medium,CPL,2604,66,1612,61.90%,482.56,1.30%,2.00%,1.10%,2.10%,1.50%,3.00%,0.00%,0.00%
20,15,3.63,Medium,NAP,1118,37,746,66.70%,434.21,4.40%,22.40%,1.50%,9.70%,0.00%,10.80%,0.00%,0.00%
279,16,3.59,Medium,TPL,9,0,1,11.10%,4.48,11.10%,33.30%,0.00%,0.00%,NA,NA,NA,NA
24,17,3.58,Medium,CPL,1810,61,910,50.30%,316.38,2.50%,3.30%,1.00%,1.60%,8.20%,9.80%,4.90%,4.90%
313,18,3.49,Medium,UMW,8,0,0,0.00%,6.67,0.00%,0.00%,0.00%,0.00%,NA,NA,NA,NA
112,19,3.49,Medium,TPL,5,0,9,180.00%,17.39,20.00%,20.00%,0.00%,0.00%,NA,NA,NA,NA
