lagoslakeid,net_id,lagos_degree,strength
166438,2,817,282316.505
170762,2,4,11.594
168310,2,813,313801.36
169706,2,2,0.162
166416,2,7,45.056
169002,2,816,291256.245
168847,2,811,292568.665
170854,2,813,412984.69
171962,2,816,298014.041
169557,2,12,143.041
172064,2,12,114.238
169601,2,2,0.813
168793,2,12,111.889
172091,2,19,185.079
166301,2,822,309116.809
167118,2,2,1.884
168985,2,3,5.885
169758,2,3,4.124
168961,2,812,375139.823
171999,2,813,318788.639
167094,2,3,6.521
171339,2,2,1.42
169719,2,812,265956.481
169576,2,4,8.133
167956,2,813,314953.849
170345,2,811,291611.467
172023,2,812,328224.229
167030,2,811,302522.755
171796,2,813,418148.879
166121,2,6,34.922
167802,2,814,324469.536
167981,2,811,319634.774
172184,2,811,270843.473
166786,2,821,362776.498
172509,2,811,278441.61
170181,2,814,350146.358
170754,2,812,271064.734
166067,2,2,8.39
166079,2,811,348480.674
169096,2,811,255558.863
169047,2,5,20.253
167404,2,2,0.669
168203,2,4,6.396
169084,2,2,0.061
169862,2,2,0.202
169083,2,2,0.292
170674,2,2,0.394
172366,2,4,10.98
168187,2,3,4.18
172355,2,2,0.742
166535,2,3,4.413
168176,2,3,8.087
171487,2,3,5.066
169826,2,2,2.367
169874,2,6,16.566
169873,2,3,6.129
169861,2,4,10.942
169075,2,5,34.025
166534,2,4,17.841
169036,2,813,297415.848
168042,2,3,15.473
169658,2,812,285789.924
172263,2,811,281928.203
170119,2,24,1213.158
170989,2,24,1450.395
169272,2,851,337148.92
167761,2,2,7.327
168548,2,9,173.424
166545,2,2,1.231
167388,2,2,0.107
168184,2,811,273998.249
166382,2,812,278990.646
166716,2,3,2.36
166718,2,2,1.692
169205,2,2,2.132
171645,2,811,246226.814
168396,2,811,228550.474
167218,2,2,3.841
168044,2,11,78.539
172070,2,11,154.712
172225,2,11,106.237
169695,2,11,125.353
171305,2,11,87.535
166326,2,11,151.655
168980,2,820,291335.199
171911,2,811,306864.7
166407,2,4,8.71
171297,2,813,324033.933
169045,2,31,433.875
172375,2,22,197.476
170649,2,22,287.839
168192,2,22,243.553
169854,2,23,198.32
170704,2,831,241817.263
171385,2,2,4.741
170554,2,2,0.312
168113,2,2,0.39
167296,2,811,314745.939
169426,2,9,206.156
170855,2,11,209.768
166112,2,2,7.31
171718,2,822,408039.028
170560,2,811,262575.297
166280,2,815,293619.666
168696,2,2,2.171
172001,2,811,287606.2
171978,2,3,3.46
167873,2,2,0.125
171142,2,2,0.142
166228,2,2,0.136
167866,2,2,0.085
171141,2,2,0.09
168688,2,2,0.102
170312,2,2,1.067
171140,2,2,3.593
167865,2,3,7.485
168677,2,812,345234.859
167156,2,812,278310.335
167181,2,811,305958.833
167187,2,812,279099.051
167533,2,2,0.597
167534,2,811,272686.594
168875,2,814,275077.647
168023,2,811,281944.566
172100,2,812,286059.969
167958,2,2,1.047
168569,2,811,348991.15
168626,2,811,357286.436
171988,2,811,379116.178
167297,2,5,9.021
168983,2,2,0.736
166473,2,3,0.655
166474,2,4,5.762
172278,2,3,1.746
169004,2,4,5.309
167318,2,5,9.649
167317,2,7,14.993
171443,2,5,16.338
170575,2,6,18.236
167274,2,6,22.81
171421,2,6,17.354
171422,2,3,5.907
166488,2,7,18.979
172268,2,3,2.073
168089,2,3,1.211
172251,2,3,1.857
170555,2,2,1.985
170573,2,816,316200.276
170589,2,811,300063.296
168498,2,7,53.413
170994,2,817,334572.198
166030,2,4,24.096
166046,2,4,36.501
168560,2,812,374665.544
168035,2,811,293674.092
170809,2,811,237107.429
170192,2,2,2.422
171868,2,811,353933.567
171367,2,811,263509.01
170468,2,5,24.884
166404,2,11,67.764
168886,2,8,58.311
169587,2,11,92.301
170348,2,8,75.848
171249,2,9,79.043
171293,2,8,48.538
168086,2,817,299016.368
168977,2,12,109.66
167370,2,821,254044.741
171567,2,812,266597.913
169913,2,811,268303.571
169647,2,811,326802.029
169525,2,4,5.73
166250,2,4,4.23
169520,2,12,174.114
168727,2,820,326833.053
167293,2,811,301513.658
166308,2,812,324663.083
170231,2,813,309690.452
167561,2,811,250056.616
167249,2,813,276717.137
168164,2,3,7.734
166497,2,2,0.941
171444,2,2,0.889
169022,2,3,3.836
169798,2,11,90.364
167377,2,10,69.441
170663,2,10,61.764
169048,2,10,61.278
169834,2,5,5.656
172357,2,12,65.491
168165,2,11,63.569
169038,2,3,1.563
166525,2,3,1.237
170654,2,10,55.293
172338,2,2,0.496
168177,2,3,7.339
171720,2,5,20.949
166581,2,2,1.433
166568,2,2,5.286
172356,2,4,24.044
165944,2,812,320275.36
170506,2,4,8.537
168928,2,813,266688.963
170706,2,2,1.095
170707,2,811,261905.608
169589,2,811,281544.415
171721,2,812,289725.547
168048,2,811,277238.163
167373,2,2,0.428
170642,2,811,295860.965
170003,2,811,280258.967
167446,2,811,263265.504
170559,2,812,261744.691
166719,2,811,279425.409
167524,2,811,231033.697
169162,2,812,250156.183
172434,2,811,273653.463
169219,2,811,241175.728
172238,2,2,5.241
168916,2,2,6.043
168915,2,811,276569.794
170332,2,8,51.078
171162,2,8,52.758
166263,2,8,47.02
170323,2,817,301985.02
171970,2,811,339796.694
170260,2,2,2.754
168624,2,2,1.5
170259,2,811,356838.729
166512,2,813,390495.639
167528,2,811,282140.624
171028,2,811,374454.177
167600,2,814,316053.461
172476,2,811,283654.781
166385,2,9,49.079
171311,2,819,283115.231
169300,2,89,7287.307
171754,2,93,7103.535
170867,2,89,6733.203
167622,2,89,8135.11
165964,2,89,6922.635
170860,2,89,9471.326
166821,2,89,6444.487
170898,2,89,9989.995
165943,2,899,376722.349
169090,2,811,254839.012
166967,2,811,345661.293
166587,2,811,274061.24
167517,2,811,253875.77
169939,2,3,15.292
172452,2,811,236186.616
166024,2,811,369207.158
167210,2,811,283320.24
170191,2,811,352069.911
168244,2,2,2.847
169915,2,811,255669.092
171157,2,811,332903.847
172102,2,2,3.349
171253,2,811,283883.247
166574,2,2,1.662
169857,2,811,284607.127
169204,2,812,244839.125
168336,2,811,246328.527
166708,2,811,241150.289
172204,2,811,278513.961
166626,2,811,268707.026
169800,2,811,260219.462
171063,2,4,15.645
166996,2,811,364223.604
172448,2,811,248521.04
171595,2,811,266000.305
169196,2,811,262909.231
172104,2,811,294934.008
170279,2,811,325525.173
171885,2,812,316578.848
168946,2,811,339467.335
168323,2,811,246944.827
168249,2,3,1.662
168261,2,811,263152.679
167285,2,811,261645.2
169788,2,811,257459.828
168676,2,811,296637.201
171306,2,2,1.978
168888,2,2,0.319
166393,2,811,319818.312
171449,2,2,1.611
168142,2,3,4.697
167379,2,3,4.158
171490,2,811,252643.318
168271,2,811,294018.291
170981,2,811,391064.338
168270,2,811,276966.802
168573,2,811,328818.292
171390,2,811,262698.646
170738,2,811,257276.58
172215,2,811,346602.376
166053,2,6,30.654
169387,2,5,12.487
168513,2,811,368273.539
168815,2,811,304454.475
169149,2,2,0.117
169937,2,3,6.57
167489,2,4,7.611
166658,2,3,3.237
169949,2,812,268584.571
168859,2,3,13.088
168903,2,811,306885.71
170065,2,28,358.18
169311,2,8,227.391
170891,2,8,230.028
169316,2,2,4.453
169313,2,8,212.848
165246,2,19,1397.273
161071,2,174,23584.618
161620,2,2,0.243
165228,2,174,31611.221
164513,2,9,111.186
163806,2,10,125.242
160934,2,5,45.353
163039,2,6,82.183
163107,2,182,34387.601
163063,2,174,34715.439
162291,2,175,37204.341
165276,2,174,30781.073
162362,2,2,1.1
163843,2,174,32614.605
164072,2,2,0.312
161180,2,2,0.645
163328,2,2,0.592
161873,2,175,24910.635
163822,2,175,34286.152
161704,2,174,29428.093
163885,2,174,31850.954
163101,2,174,33992.556
163183,2,174,28555.476
162336,2,174,31586.896
163870,2,2,0.173
165296,2,4,18.425
163040,2,190,32111.595
160202,2,3,13.529
165191,2,5,14.528
160164,2,11,324.163
161625,2,10,293.336
160914,2,174,39522.223
164547,2,174,26294.019
161893,2,2,0.074
164076,2,2,0.07
164784,2,2,0.125
161181,2,2,1.232
161878,2,174,25727.375
161671,2,175,28949.38
160330,2,174,26135.434
164673,2,174,21990.815
163105,2,174,33760.43
162563,2,174,27806.974
163753,2,174,35171.127
163141,2,174,28547.626
160280,2,5,15.112
164597,2,175,29627.106
160216,2,174,35693.053
160222,2,174,26858.324
160415,2,174,28192.751
165192,2,174,29385.427
160162,2,175,40195.035
162542,2,174,28503.426
160487,2,175,25412.06
164736,2,174,29228.297
162288,2,313,43043.484
161502,2,4,22.974
161496,2,4,25.398
163641,2,139,15572.887
161920,2,5,9.153
162628,2,2,0.884
161229,2,3,2.193
163382,2,3,7.603
161241,2,139,16051.8
160481,2,3,2.524
165501,2,7,46.48
163358,2,3,2.35
161196,2,8,33.028
163336,2,7,34.319
160468,2,8,45.973
161207,2,7,40.611
160521,2,143,16679.043
162950,2,2,9.054
165195,2,204,17760.918
164446,2,42,3078.345
160073,2,2,19.394
159757,2,42,5679.892
164437,2,3,0.171
163009,2,42,3011.582
161566,2,42,3735.188
164430,2,42,3254.311
165168,2,42,4273.814
157314,2,60,5290.149
159044,2,59,5085.62
157272,2,61,5700.484
159392,2,4,12.169
158587,2,61,5529.877
158564,2,4,18.12
156882,2,4,18.171
