net_id,lagoslakeid,strength_km
2,170303,295371.886
2,166216,404980.627
2,168924,265869.408
2,169543,304079.057
2,167072,375932.504
2,170641,290358.03
2,168733,310262.564
2,167982,373489.844
2,169394,334985.442
2,166899,381586.542
2,171310,275200.348
2,169708,266708.036
2,168648,300160.709
2,172113,297048.688
2,171282,274121.379
2,170341,302853.422
2,168937,338389.504
2,169641,307901.704
2,171776,431484.041
2,171170,294133.616
2,168507,338161.533
2,167496,304457.273
2,168925,265318.345
2,169808,291623.381
2,166323,295284.548
2,171991,287211.638
2,169408,332231.924
2,166441,306014.267
2,168894,283271.541
2,168917,285179.06
2,171773,438277.214
2,169504,347494.687
2,166179,307253.408
2,167748,364470.623
2,171400,296448.511
2,167744,414202.349
2,169652,275888.695
2,167155,284134.819
2,166075,361216.454
2,170180,424648.308
2,166339,287515.272
2,167736,394953.225
2,171945,310553.029
2,166087,331590.387
2,167495,310864.361
2,167047,320437.233
2,170969,357799.877
2,166081,369828.818
2,172142,278219.588
2,171555,270485.7
2,166438,282316.505
2,168934,266908.705
2,169757,352579.219
2,166932,429706.869
2,171008,348968.255
2,170277,346796.539
2,169590,281910.319
2,170928,400036.287
2,169081,270985.556
2,166309,336641.841
2,169648,370048.884
2,172231,265487.611
2,172401,271295.133
2,166434,265875.595
2,171295,314864.66
2,167461,316952.1
2,170377,325607.993
2,172319,292029.716
2,168310,313801.36
2,169002,291256.245
2,167740,355570.626
2,171062,363765.332
2,166352,370131.402
2,169581,286957.928
2,167835,384652.595
2,169735,379576.903
2,167049,325458.906
2,170726,285284.399
2,171067,309493.014
2,172188,275863.453
2,171840,430199.06
2,166427,263841.05
2,166186,407556.786
2,172445,316611.065
2,169136,267538.466
2,169447,362812.836
2,167962,295604.533
2,166255,315404.471
2,166402,313638.651
2,168948,265967.634
2,169468,432486.455
2,166605,278235.972
2,167893,283420.185
2,170336,285108.585
2,167018,303375.289
2,168847,292568.665
2,167330,316813.054
2,171399,278795.322
2,170703,278534.23
2,168899,309647.02
2,168138,296595.538
2,167977,322826.443
2,171013,325433.925
2,170534,307179.368
2,168503,340203.496
2,172211,304033.786
2,171361,267060.54
2,169513,312335.592
2,169626,303883.238
2,169039,393988.235
2,171851,358322.793
2,167482,267859.311
2,167532,268334.251
2,171519,279418.798
2,171132,291842
2,166342,283317.889
2,170338,328855.505
2,172135,304414.751
2,170854,412984.69
2,166155,301825.022
2,171962,298014.041
2,171468,294724.795
2,170157,419329.812
2,167921,296207.341
2,166965,329624.587
2,171883,370689.484
2,172078,286141.346
2,171126,321802.952
2,168563,347419.252
2,166301,309116.809
2,172409,269163.321
2,170189,330138.442
2,166451,269209.009
2,168854,274178.259
2,168576,372770.236
2,168061,312408.102
2,171263,283857.687
2,168961,375139.823
2,168903,306885.71
2,171177,291341.172
2,171999,318788.639
2,166508,296750.504
2,168521,417468.282
2,169443,320043.533
2,171096,329941.345
2,169719,265956.481
2,169853,263924.668
2,169361,412825.299
2,172028,309876.519
2,167720,340485.141
2,167116,309354.974
2,167967,313064.442
2,167956,314953.849
2,168747,292797.254
2,171290,276551.43
2,170345,291611.467
2,166422,377919.38
2,171113,359995.825
2,169678,292105.659
2,172023,328224.229
2,168221,272328.991
2,168968,267198.299
2,169949,268584.571
2,170111,422132.326
2,167030,302522.755
2,170190,331287.343
2,171469,285382.554
2,170660,268042.396
2,170307,306162.7
2,170210,409165.312
2,167891,344186.422
2,169392,392217.566
2,171796,418148.879
2,168572,326900.268
2,171102,327497.305
2,169991,278418.692
2,168815,304454.475
2,168117,352134.269
2,172456,271789.662
2,167715,339964.438
2,168513,368273.539
2,171099,354590.816
2,166447,383734.892
2,172215,346602.376
2,170708,267159.828
2,167401,278481.579
2,168573,328818.292
2,171831,343277
2,172318,270423.212
2,166392,313641.274
2,167549,282916.927
2,168669,298617.992
2,168270,276966.802
2,171027,354011.486
2,166215,376044.146
2,170981,391064.338
2,166381,271770.791
2,170225,310457.57
2,169023,392613.308
2,168271,294018.291
2,166959,334279.845
2,167123,327759.197
2,167802,324469.536
2,167981,319634.774
2,171874,379111.494
2,171259,279255.091
2,168907,268414.511
2,167410,277141.642
2,167029,301722.167
2,170290,342318.748
2,171125,411604.691
2,166393,319818.312
2,168676,296637.201
2,172184,270843.473
2,169008,384788.763
2,166310,283903.428
2,168315,313696.032
2,171418,276347.712
2,168742,325992.665
2,167759,353357.391
2,171039,384594.923
2,172203,276437.438
2,166134,308393.486
2,170951,375981.247
2,167965,299002.412
2,166786,362776.498
2,166018,411568.617
2,170985,428798.362
2,167146,306837.566
2,169000,282832.819
2,172509,278441.61
2,170181,350146.358
2,168656,318969.304
2,166297,289000.483
2,171805,415029.879
2,170754,271064.734
2,172046,299940.58
2,169981,286797.555
2,166496,289668.069
2,166021,411287.894
2,169401,367054.943
2,166079,348480.674
2,171112,355276.213
2,170216,385616.585
2,172502,268206.685
2,171205,302868.434
2,166941,370311.082
2,172056,287208.114
2,169036,297415.848
2,168946,339467.335
2,171885,316578.848
2,169141,274160.175
2,170279,325525.173
2,166208,409594.326
2,172104,294934.008
2,171022,375279.676
2,169658,285789.924
2,170733,313062.882
2,171568,265013.164
2,168330,282170.796
2,171004,358960.25
2,171296,316144.657
2,166100,358538.264
2,172263,281928.203
2,171888,366122.567
2,167320,264483.255
2,167881,332824.463
2,169628,278724.03
2,169352,369237.718
2,169720,268465.919
2,169754,278162.229
2,172058,291892.03
2,169025,388125.258
2,171595,266000.305
2,167500,264111.358
2,166976,401952.087
2,168509,395214.532
2,166489,383774.468
2,168090,339328.869
2,171267,274293.461
2,171087,357430.157
2,169272,337148.92
2,166098,322299.334
2,172423,271663.544
2,172249,310219.375
2,171579,272579.145
2,170916,408624.456
2,168184,273998.249
2,166996,364223.604
2,166070,392554.289
2,168104,385142.407
2,167319,385025.902
2,169458,362962.508
2,169410,367236.479
2,166376,271743.977
2,168692,309983.467
2,166626,268707.026
2,171973,306907.22
2,167063,408791.976
2,169412,346693.402
2,167226,283051.786
2,168111,282168.63
2,168091,381445.098
2,168963,386057.296
2,166382,278990.646
2,172204,278513.961
2,168978,263269.63
2,170504,376616.295
2,167725,431349.22
2,169506,296882.992
2,171130,313916.022
2,166074,345552.869
2,169350,409762.755
2,168528,332546.584
2,168980,291335.199
2,167952,303085.183
2,167080,304252.028
2,168703,408227.144
2,168547,365816.044
2,169009,385419.962
2,171016,399527.695
2,171911,306864.7
2,167378,394358.901
2,171297,324033.933
2,171955,319002.813
2,169436,397050.427
2,167281,307587.381
2,171049,372953.072
2,169536,340571.864
2,170558,350221.495
2,170977,337193.203
2,169629,284572.488
2,167786,400580.832
2,167268,264559.254
2,171197,293588.037
2,169630,275577.255
2,170673,285598.422
2,168583,326353.627
2,166156,303219.931
2,168746,295388.481
2,169035,264619.114
2,166148,413438.918
2,167296,314745.939
2,167173,276887.79
2,171718,408039.028
2,171164,319087.147
2,168112,296678.097
2,169857,284607.127
2,170297,297282.318
2,169809,289521.697
2,168482,369060.028
2,170731,263928.591
2,166573,269566.57
2,170204,343735.492
2,171323,334600.312
2,170175,368465.082
2,170543,282776.476
2,170253,356858.791
2,167659,420876.758
2,171253,283883.247
2,170414,373440.495
2,171157,332903.847
2,169489,298468.149
2,171207,308321
2,167890,305886.217
2,169709,271155.689
2,172006,290331.161
2,168472,419457.481
2,167016,435819.787
2,166280,293619.666
2,169015,290822.311
2,171360,266400.396
2,167886,315481.186
2,168558,345731.515
2,167042,321652.351
2,171018,333127.02
2,168149,298967.783
2,166435,265339.88
2,167097,358431.781
2,170191,352069.911
2,169824,264265.984
2,166299,297685.279
2,172334,293811.106
2,166432,373058.78
2,169901,275602.693
2,169496,323475.266
2,168033,272906.586
2,167066,322264.891
2,171646,287035.458
2,166241,316935.13
2,169074,286059.121
2,172001,287606.2
2,168677,345234.859
2,167210,283320.24
2,168185,290074.796
2,170577,343909.845
2,168557,339619.363
2,171097,300653.192
2,168668,372653.502
2,167156,278310.335
2,170960,361859.174
2,169415,380133.925
2,171381,281407.922
2,166948,365612.176
2,169414,379794.145
2,170344,290578.289
2,167181,305958.833
2,167187,279099.051
2,166964,329712.768
2,168570,397975.923
2,171627,273464.311
2,167534,272686.594
2,168585,318899.881
2,168875,275077.647
2,168041,268987.01
2,168023,281944.566
2,171048,374568.063
2,169721,277495.61
2,167724,429756.681
2,172100,286059.969
2,168569,348991.15
2,167247,378478.137
2,166024,369207.158
2,168626,357286.436
2,171880,345180.716
2,171988,379116.178
2,170302,356489.253
2,169417,359534.705
2,170573,316200.276
2,169469,302659.78
2,171277,313405.402
2,168722,286920.456
2,168574,345223.466
2,171823,378626.876
2,167067,324862.586
2,168348,280938.626
2,168748,287607.915
2,172050,300451.331
2,166461,295948.328
2,171556,278791.073
2,166717,279532.537
2,170273,299496.45
2,172229,381131.973
2,172182,318906.282
2,166222,368836.327
2,170589,300063.296
2,168689,335290.938
2,166337,307649.574
2,170309,289866.886
2,170994,334572.198
2,168560,374665.544
2,166587,274061.24
2,171109,296154.853
2,169856,277167.463
2,168035,293674.092
2,168591,309736.795
2,168755,288872.2
2,168653,312162.963
2,170505,267882.704
2,170986,434871.606
2,166033,404359.225
2,166967,345661.293
2,169094,285841.946
2,170997,400273.61
2,170766,313906.902
2,170206,396314.537
2,168721,288117.461
2,171824,392309.335
2,171868,353933.567
2,171367,263509.01
2,166446,382332.529
2,166577,284490.233
2,168086,299016.368
2,169768,265947.873
2,167963,296717.562
2,169461,358022.747
2,168530,359067.053
2,166480,267543.285
2,171466,280169.245
2,167057,311615.536
2,167788,315046.245
2,171567,266597.913
2,166962,328674.405
2,169093,281415.083
2,170418,306695.763
2,169913,268303.571
2,170540,269293.296
2,166332,284897.104
2,172265,304580.719
2,166924,420972.273
2,171990,318932.019
2,171892,370298.161
2,168232,269329.231
2,166276,292568.521
2,166922,383587.463
2,171215,288036.53
2,169526,298686.407
2,169647,326802.029
2,166226,294858.519
2,172379,283960.096
2,168727,326833.053
2,169574,325602.107
2,167314,300890.242
2,167293,301513.658
2,168073,281028.02
2,171316,314640.389
2,166308,324663.083
2,167205,320455.189
2,171424,390945.218
2,170231,309690.452
2,167249,276717.137
2,166593,278649.88
2,165944,320275.36
2,167400,278666.84
2,170308,293238.538
2,168266,286984.21
2,168928,266688.963
2,169828,394505.33
2,169529,317850.186
2,166318,303600.516
2,166958,391186.251
2,168674,320461.439
2,172274,266339.429
2,169541,294183.998
2,172083,290541.062
2,168861,326313.942
2,171383,297989.89
2,166232,313027.488
2,170318,313415.706
2,169686,294138.366
2,169632,286669.867
2,172033,297401.291
2,168511,371026.376
2,166089,405164.306
2,171967,314454.747
2,169480,301894.823
2,169589,281544.415
2,168522,427188.568
2,171721,289725.547
2,166298,289170.188
2,168048,277238.163
2,166445,339849.865
2,168761,307364.769
2,167329,299360.787
2,169512,307831.304
2,169871,285148.633
2,169433,339304.19
2,169814,388929.327
2,168835,293663.793
2,170304,295617.963
2,170995,368795.655
2,166357,318886.579
2,168630,312049.843
2,170184,369976.049
2,166900,392135.4
2,171610,270032.402
2,171334,302594.283
2,169986,274261.609
2,170317,312156.546
2,168595,435730.797
2,168304,312563.556
2,167313,299803.601
2,171834,340589.389
2,166064,381495.831
2,172187,271589.368
2,171643,269006.345
2,171549,278716.645
2,169649,375093.976
2,170642,295860.965
2,170003,280258.967
2,166956,337878.334
2,167270,272506.58
2,171489,393614.513
2,168093,269900.855
2,169369,419873.46
2,169524,293230.344
2,166533,297457.34
2,166231,310087.018
2,169195,277291.631
2,171830,342934.426
2,166719,279425.409
2,169942,264075.864
2,171020,372459.576
2,171327,282454.763
2,169490,312680.34
2,167209,275801.969
2,171332,275275.037
2,169020,292080.954
2,168567,387733.439
2,166578,279114.325
2,166065,370910.609
2,167043,327422.119
2,169740,263294.093
2,171260,277140.696
2,167224,269708.164
2,170461,339988.183
2,168770,325555.656
2,169717,372523.257
2,172434,273653.463
2,166914,339905.484
2,166201,315100.079
2,167899,299985.644
2,171447,392375.924
2,166623,265521.906
2,168915,276569.794
2,170323,301985.02
2,166373,287637.607
2,170954,380549.071
2,171970,339796.694
2,170259,356838.729
2,169523,305311.529
2,168292,318145.087
2,169382,397646.083
2,169210,280543.126
2,166511,394169.184
2,166512,390495.639
2,171095,365200.97
2,167528,282140.624
2,169357,382227.746
2,166471,300121.538
2,170594,383152.347
2,166292,293760.865
2,167894,299782.178
2,169505,337778.653
2,171028,374454.177
2,168480,409276.839
2,168811,323217.522
2,169670,278886.749
2,167600,316053.461
2,172476,283654.781
2,171368,276326.057
2,167907,283344.306
2,169554,309777.211
2,171311,283115.231
2,172192,271827.333
2,172081,285853.076
2,171214,290193.149
2,167054,298512.775
2,167468,267555.554
2,171497,291338.454
2,165943,376722.349
2,172166,316146.555
2,171050,318917.204
2,170155,373206.109
2,166610,268936.418
2,168797,324850.995
2,171221,301717.227
2,166218,298384.496
3,452874,319673.288
3,451954,386246.559
3,449489,274778.248
3,452257,449593.152
3,449576,258644.837
3,450370,411831.881
3,449256,269769.515
3,449847,250230.698
3,452412,346804.528
3,449134,256850.169
3,449846,249289.389
3,449252,261007.899
3,452685,340569.169
3,452157,284685.337
3,450064,334790.807
3,450348,319743.341
3,450345,286846.238
3,449499,257231.177
3,450379,357697.95
3,449858,252031.525
3,450360,444301.322
3,449513,249243.373
3,450244,263590.886
3,452506,316766.701
3,451927,450199.267
3,452868,336264.858
3,449501,267180.757
3,449793,271191.212
3,452071,261914.342
3,451950,420886.961
3,452944,362194.986
3,449406,257558.507
3,449504,259111.274
3,452897,422835.019
3,449163,251180.73
3,450615,320939.556
3,452184,428335.483
3,452127,350194.811
3,452411,367586.187
3,450425,395072.678
3,452375,404932.391
3,449408,263377.862
3,450351,298321.63
3,449783,263481.654
3,452387,387527.024
3,452687,334296.075
3,449171,256835.299
3,450299,254437.983
3,451963,430337.877
3,452058,264525.879
3,452202,442438.866
3,449121,251992.863
3,452841,341589.812
3,452248,424025.539
3,449754,268212.043
3,452130,444633.013
3,452001,256200.36
3,452736,372957.296
3,451944,262718.532
3,452343,326474.705
3,449978,330097.104
3,449195,267666.073
3,450301,290096.572
3,449607,258493.472
3,452028,442565.511
3,449591,253012.426
3,452729,388247.542
3,450359,360143.922
3,452265,450326.288
3,450258,304980.992
3,449390,250130.495
3,452303,384323.397
3,450432,288036.099
3,449600,265244.654
3,450105,295845.932
3,452905,431497.239
3,449505,266198.104
3,450018,339080.755
3,450114,307167.809
3,450428,347332.188
3,449294,268241.168
3,451917,445699.981
3,451452,333460.992
3,449658,258776.238
3,450048,272278.885
3,452625,431635.041
3,452436,304285.861
3,450455,413295.32
3,449510,259917.567
3,449247,254753.851
3,449289,271850.987
3,449899,271866.523
3,450354,347457.468
3,450049,273034.219
3,453019,557671.061
3,450426,413427.635
3,450308,296580.345
3,451961,362828.513
3,452413,344730.63
3,452033,371902.997
3,449308,263405.306
3,450207,297820.697
3,450042,281211.483
3,452089,373618.038
3,449856,251862.527
3,450423,296021.792
3,452450,308540.883
3,449794,268730.137
3,451861,278559.189
3,452373,407252.969
3,449503,268067.664
3,451992,390712.134
3,452766,325890.352
3,450409,332242.167
3,452093,272831.704
3,450005,298053.157
3,451650,348888.918
3,449454,254407.168
3,449307,262584.792
3,449347,266525.218
3,452006,263574.274
3,452699,335861.458
3,452549,348809.055
3,450456,419286.869
3,450217,313794.281
3,452489,371215.798
3,451873,257924.35
3,449634,281382.217
3,449251,258388.968
3,452769,326994.52
3,449845,269645.761
3,450377,354969.668
3,449959,285705.819
3,452799,311973.812
3,449453,253763.184
3,449863,266400.124
3,452482,369825.444
3,452242,385275.665
3,451939,390619.251
3,451903,349473.704
3,450368,299779.054
3,449332,253496.221
3,450194,304616.936
3,451949,384045.833
3,450628,360163.999
3,450443,370326.318
3,449209,262572.864
3,449774,257272.224
3,450381,367628.302
3,452252,351147.74
3,450239,284902.265
3,449399,264866.39
3,449902,261363.013
3,451990,250692.65
3,452374,407331.885
3,453117,546397.311
3,452153,283170.437
3,449843,259987.586
3,449469,255672.073
3,450302,302696.021
3,450422,273868.484
3,451922,272602.994
3,452040,458131.602
3,452259,446809.119
3,449994,300610.79
3,450390,362600.058
3,450237,286968.836
3,452432,334686.158
3,450167,305080.537
3,452604,317340.255
3,449558,260323.468
3,451955,384314.115
3,452797,349256.627
3,452433,335092.552
3,452598,340525.321
3,452378,414122.678
3,449651,252365
3,449274,261864.417
3,451894,424193.466
3,451980,271007.454
3,452706,332200.104
3,452667,345871.809
3,452528,430009.777
3,449788,254038.711
3,452801,406838.869
3,450294,260573.173
3,452026,266428.197
3,451945,262284.776
3,451972,445002.071
3,451893,415716.606
3,452188,358333.156
3,453130,427897.843
3,450255,296431.735
3,451841,251415.064
3,452601,331570.131
3,451971,443707.562
3,453050,538963.076
3,451970,265128.361
3,449194,268135.623
3,452128,367301.576
3,452109,255942.445
3,449907,249439.752
3,452620,347051.061
3,452179,264199.544
3,452072,425632.227
3,449654,254428.878
3,449753,259004.861
3,450195,282175.767
3,450427,414526.69
3,451982,455808.702
3,450353,419687.243
3,452781,314582.37
3,450275,326412.28
3,451833,391292.188
3,450161,311346.513
3,450333,333972.49
3,450115,311360.403
3,452080,446165.493
3,452879,329919.601
3,449996,264976.575
3,452942,342442.76
3,450363,366343.231
3,451907,432432.059
3,452899,325182.408
3,452894,283000.933
3,449897,268368.586
3,451863,274105.001
3,451838,336163.854
3,450367,327605.247
3,449196,268205.15
3,450215,310720.017
3,453054,537236.547
3,449844,249576.436
3,452895,293422.405
3,450154,285394.684
3,449227,253092.288
3,450392,371392.05
3,451959,365519.168
3,450447,434363.486
3,452441,333464.28
3,449617,250318.197
3,452360,333078.188
3,449527,268367.51
3,452078,359746.282
3,449170,258195.521
3,449683,283623.016
3,452235,252928.772
3,449593,264986.972
3,450439,412000.498
3,452793,300657.916
3,450376,418381.688
3,449533,275602.971
3,452509,315520.687
3,452550,387395.308
3,449575,255990.05
3,450099,289734.009
3,450050,266291.493
3,449688,251163.513
3,453097,541771.869
3,451979,441577.095
3,450355,419173.254
3,452205,371717.039
3,450212,304055.582
3,450623,347864.441
3,452896,411390.375
3,452694,335993.969
3,449269,250851.89
3,451964,430907.971
3,453120,384483.302
3,449943,285258.671
3,452245,250613.566
3,452018,350513.42
3,450349,290512.89
3,450052,293308.044
3,449197,259898.94
3,452540,380915.186
3,452070,423569.939
3,450162,310223.337
3,450141,261400.246
3,450111,299283.564
3,453046,445352.868
3,451284,353091.54
3,449207,261511.224
3,449546,248424.578
3,449896,269541.831
3,449616,263413.284
3,452365,329267.289
3,449860,259873.717
3,451926,272913.136
3,452359,327339.574
3,452125,442503.175
3,449953,295942.481
3,452368,432418.041
3,452447,323857.541
3,452703,334095.044
3,449491,270770.497
3,451914,270776.401
3,449193,262907.543
3,450261,309069.875
3,452887,329652.556
3,449149,451481.152
3,450205,336542.269
3,449630,271681.004
3,450394,298856.152
3,449752,252185.392
3,449442,256013.271
3,452369,356875.346
3,449336,251955.128
3,452250,432314.265
3,449829,270835.526
3,451906,432294.773
3,449384,270582.663
3,452920,392982.228
3,450396,340198.347
3,449642,270170.465
3,449961,299450.469
3,449646,263013.325
3,449381,260299.288
3,452286,260272.542
3,452784,330505.166
3,452884,314212.761
3,451977,441916.869
3,452646,391905.342
3,452146,448748.742
3,452340,339193.3
3,452039,388861.231
3,452861,335646.63
3,452186,415403.139
3,450460,356255.142
3,449661,268346.897
3,452606,336104.682
3,452074,428874.761
3,451967,381907.165
3,449972,312383.837
3,450011,334499.531
3,452695,311000.705
3,452446,324220.454
3,451909,256692.091
3,452032,452713.302
3,452004,402731.772
3,452126,351516.951
3,451832,401012.8
3,451869,378247.851
3,451862,449610.292
3,449859,254022.999
3,450459,349702.79
3,452652,391294.955
3,450453,279172.565
3,450247,279552.966
3,449696,262130.626
3,449137,262012.156
3,449293,269641.933
3,452061,265553.366
3,449610,251224.926
3,452991,425431.393
3,452993,426939.584
3,449458,265975.684
3,449398,268586.065
3,452485,378296.143
3,450163,313021.432
3,452487,370336.228
3,449487,272817.085
3,449306,251901.54
3,450009,299132.694
3,450040,313706.278
3,450461,344313.715
3,451968,436534.912
3,449678,267659.962
3,450433,394403.996
3,449173,249312.874
3,451860,447622.308
3,452280,258746.538
3,452255,440840.901
3,452323,370168.92
3,449603,266983.708
3,452000,260664.29
3,450357,434330.102
3,452551,390900.846
3,452062,365774.548
3,452176,263378.96
3,452830,367346.674
3,449956,285138.732
3,452099,386429.325
3,452011,264359.39
3,449402,270653.683
3,452426,336182.904
3,449205,259037.687
3,452592,326002.295
3,449300,253915.173
3,451844,442441.147
3,451461,290279.719
3,450146,274492.077
3,450044,259478.401
3,449341,255013.317
3,450440,396068.827
3,449946,285562.807
3,450259,311347.973
3,449991,316483.897
3,452123,426672.989
3,452790,297313.057
3,450197,272622.689
3,452192,385451.023
3,451908,433977.555
3,450102,249195.266
3,450001,296597.812
3,450148,280556.775
5,149216,13667.438
5,149484,13057.675
5,149566,15304.032
5,150974,17967.522
5,149476,16482.684
5,151082,18032.432
5,150586,13633.745
5,149109,27485.206
5,149477,15840.699
5,151809,15784.076
5,149573,12139.741
5,149903,12067.364
5,150266,12394.791
5,151001,14615.035
5,149138,12087.765
5,151037,16115.748
5,149128,13965.473
5,150616,15478.253
5,151079,15653.992
5,150214,18152.275
5,150966,17887.775
5,150595,15271.957
5,150245,14604.528
5,150621,15495.807
5,150215,19933.859
5,151000,14665.605
5,150322,13579.013
5,151732,12109.781
5,149832,14110.356
5,150630,12777.744
5,149498,13937.873
5,151441,14163.369
5,149214,13718.293
5,149205,13385.839
5,150276,12341.095
5,149578,13672.729
5,149490,14523.545
5,151745,14790.769
5,151434,12163.901
5,149557,12016.881
5,150232,17851.952
5,149519,14158.969
5,151436,12372.671
5,151355,15835.23
5,150213,17331.156
5,149826,16557.434
5,149930,13727.695
5,151084,12612.467
5,149493,14371.627
5,151056,13479.438
5,149466,15174.476
5,150264,12733.04
5,151715,14438.797
5,150589,18405.517
5,151013,11883.346
5,149548,15084.542
5,149925,13321.451
5,150993,13966.666
5,150666,12286.571
5,149520,12404.864
5,150271,12463.765
5,149132,12141.33
5,150990,14441.172
5,151706,17445.353
5,151801,15045.019
5,151746,13817.849
5,151795,12305.034
5,150237,12242.255
5,149516,13325.514
5,149567,12136.907
5,149824,17506.136
5,149501,12621.482
5,151705,16979.658
5,151766,15014.354
5,150970,17831.989
5,149558,12686.105
5,149539,14708.368
5,149840,15482.299
5,151722,13283.717
5,151444,14681.837
5,151789,13028.988
5,149220,15490.392
5,151036,12154.129
5,151372,14029.592
5,150609,13984.156
5,151359,15242.2
5,151704,20589.106
5,149867,13747.325
5,149217,13736.183
5,149858,12862.09
5,150218,16199.819
5,150306,12205.053
5,149848,12963.172
5,150683,13063.974
5,149920,14294.709
5,150615,15349.943
5,151371,13873.007
6,244886,38751.137
6,236747,47844.756
6,245527,75118.522
6,247808,49289.172
6,241882,53773.377
6,246579,38579.519
6,239140,37705.237
6,248254,74750.825
6,246564,42176.941
6,237935,41729.162
6,243781,40478.755
6,244498,43926.695
6,237373,37230.066
6,241564,46663.889
6,247114,34884.063
6,241259,34994.385
6,248546,47829.765
6,243794,58286.712
6,242614,49119.713
6,238817,40167.376
6,237061,56909.793
6,241852,42409.853
6,240122,46924.67
6,239857,56596.969
6,238911,40796.034
6,246508,35315.852
6,238994,58547.419
6,244383,54515.025
6,240855,38893.289
6,246506,37655.097
6,248242,75379.704
6,239889,50637.249
6,242358,46272.789
6,246638,55141.166
6,248449,48246.505
6,236972,39332.465
6,241717,54073.705
6,246566,35051.859
6,240806,41692.357
6,242333,45933.435
6,244954,69149.764
6,242613,52221.072
6,239670,45199.833
6,237718,48568.988
6,245166,38477.931
6,240322,43961.541
6,236222,71401.526
6,243643,50358.902
6,239945,60952.409
6,237790,48608.167
6,245060,38066.596
6,243843,58262.99
6,237006,41711.617
6,249186,41768.697
6,249274,44119.457
6,245873,49347.353
6,245599,68253.617
6,245167,39374.25
6,243212,39631.015
6,243667,44839.34
6,242125,42277.846
6,243055,39950.893
6,238006,66199.36
6,237970,40754.471
6,241707,41868.547
6,240429,56784.716
6,238963,63660.124
6,249268,51680.411
6,245554,73700.979
6,242621,47875.744
6,238022,57101.934
6,243844,64863.437
6,238359,35980.423
6,239008,72761.998
6,241611,43186.934
6,242141,45787.454
6,238655,46223.574
6,238858,55928.561
6,238437,35879.429
6,242792,34807.431
6,243710,44341.523
6,241138,52642.777
6,237800,39806.956
6,243042,36676.635
6,243672,61710.515
6,247834,38796.934
6,237337,34674.013
6,242916,64845.641
6,245055,50544.923
6,242861,49935.254
6,238912,50906.743
6,244749,75169.853
6,237084,73562.788
6,243584,49884.517
6,239925,62377.593
6,237872,53471.252
6,237949,38541.182
6,244444,38211.747
6,238849,48061.724
6,247435,71244.322
6,245770,34743.819
6,242923,62265.133
6,237511,52610.075
6,241573,50048.216
6,240258,35392.544
6,240364,39824.511
6,245130,46443.946
6,238319,35295.982
6,240261,40696.806
6,239138,35137.093
6,245861,37563.855
6,239881,43216.332
6,243915,63084.891
6,244415,60120.932
6,248236,39478.142
6,242413,54123.086
6,244090,34479.154
6,248554,35424.753
6,242311,42529.175
6,247174,41144.057
6,237722,49619.248
6,237064,57341.701
6,236541,55250.105
6,239810,37300.745
6,243813,38899.437
6,246348,57128.587
6,236450,46389.624
6,239784,45076.081
6,241177,62431.091
6,243754,48838.88
6,241108,44758.75
6,242854,38999.745
6,237042,53005.714
6,237370,35349.824
6,248159,34686.288
6,248932,36246.319
6,240759,50165.473
6,238351,35904.42
6,243825,42981.575
6,237209,94011.598
6,243044,35740.274
6,239882,39916.903
6,247676,49008.002
6,241377,56991.784
6,242709,45045.29
6,243712,54942.864
6,241524,51555.084
6,242585,48839.228
6,241354,54363.436
6,240911,55263.194
6,239762,43712.134
6,236814,49500.393
6,240265,37014.396
6,237022,43032.629
6,245169,35382.199
6,239850,57201.738
6,242887,60657.261
6,236924,37022.37
6,239865,38016.747
6,241340,57728.797
6,241793,52567.807
6,238036,71845.9
6,241900,56646.484
6,237338,55194.258
6,245836,40167.199
6,240780,56264.066
6,247578,38075.228
6,241783,34807.744
6,239921,56922.033
6,241089,41585.379
6,241801,57374.779
6,249081,36804.62
6,238907,43672.616
6,243054,39161.718
6,247960,56164.19
6,240832,57022.129
6,244396,48846.953
6,248410,53460.188
6,239134,48559.438
6,247767,50338.584
6,238930,60065.369
6,237842,45386.363
6,244459,50644.395
6,237576,57658.846
6,237742,49679.161
6,236878,51863.057
6,243548,50123.53
6,236795,40128.892
6,239352,43766.557
6,237668,51598.372
6,239797,40168.336
6,237072,71440.948
6,242319,43514.311
6,248395,46041.162
6,242392,51101.417
6,237967,43729.447
6,239339,40276.863
6,244185,39496.89
6,242793,46335.079
6,244574,54331.736
6,240635,46321.568
6,241219,64419.556
6,237219,34519.34
6,243703,41151.839
6,248981,65308.146
6,247089,40100.529
6,247461,35088.792
