net_id,minlat_id,maxlat_id,minlon_id,maxlon_id,maxkmNS,maxkmEW,min_cut_lat,min_cut_lon,maxlon_dist,maxlat_dist,latavg,lonavg
1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,171646,160258,170857,160913,491.7308903,406.1943485,1,1,4.389017733,4.447075174,33.7536045,-81.61874743
3,454431,450847,453717,449745,1330.342786,830.2617778,1,1,9.578337618,12.03124411,38.82836896,-110.5871544
4,124500,135248,135248,124500,1.104034649,0.004275468,1,1,5.17E-05,0.009984577,42.02256025,-70.71140373
5,149409,151756,151702,149409,168.7016759,319.5520487,6,6,3.571787938,1.52569027,36.51231563,-78.16744668
6,246793,238095,248782,241068,482.5592766,473.0447656,1,1,5.117953299,4.364129692,33.86167964,-86.36221137
7,1222,1362,1222,74937,139.1508016,139.8027949,1,1,1.738082128,1.258440516,43.73259764,-85.51977423
8,37625,39756,77078,38655,31.54679143,24.56169668,21,1,0.293188008,0.285300264,41.18737401,-81.83546545
9,157995,159782,159311,154722,315.884593,327.0631869,1,1,3.60747948,2.856770968,35.46396405,-79.98707333
10,79080,47828,63479,4357,505.3960943,470.4560369,1,7,5.646967003,4.570659416,41.53669276,-75.15076636
11,12003,316231,314653,56910,380.4055206,479.8230802,2,1,6.421737471,3.440279999,47.82467509,-97.69083535
12,112288,132822,3733,112288,0.81067832,0.708271313,1,1,0.008485607,0.007331546,41.42693217,-82.83527105
13,57286,79095,44866,74828,119.2570329,125.9640399,1,1,1.668097832,1.078526895,47.28414831,-92.26889936
14,456971,457037,457405,457037,143.1110167,72.60283926,6,1,0.848478362,1.294255582,39.76486876,-119.7853674
15,146566,145536,147884,144759,173.6281866,336.368795,426,1,3.804298756,1.57024424,37.4082651,-77.50264167
16,152010,150465,149963,150533,128.3191533,162.7552185,26,46,1.819904788,1.16048215,36.545819,-77.06621117
17,234589,232593,235091,233240,166.9418764,175.6662793,2,2,1.853217444,1.509775141,31.62237072,-86.49867212
18,221623,220894,222319,222314,130.1909486,89.3045889,4,2,0.934661875,1.177410138,30.87151142,-84.27936
19,80024,6866,98679,75792,28.67499508,11.4289629,1,1,0.136304768,0.25932855,41.12950289,-74.0235228
20,41590,6327,88347,117098,434.2133698,164.5456301,1,1,2.040431198,3.926902977,43.57748599,-71.78680704
21,198680,178033,173175,191956,539.4367778,235.3314492,1,1,2.438847414,4.878513735,29.90805018,-81.94493593
22,85237,62344,85237,62344,5.010226017,1.067955383,1,1,0.012699299,0.045311068,40.93583878,-73.80716447
23,45857,573,45857,96671,41.64633715,64.98138506,1,1,0.868929644,0.376637701,47.79440546,-90.73029129
24,173998,172844,177002,173998,316.3759383,261.229254,69,47,2.7851551,2.861214556,32.58591724,-82.65693487
25,427557,425149,424572,425641,129.1208634,89.33296532,4,1,0.925503028,1.16773259,29.87785175,-95.37280094
26,42700,122440,88385,79981,142.5119041,57.63450117,2,1,0.693358275,1.288837377,41.69339493,-73.11374482
27,27963,93606,120403,73695,48.20203283,20.17869275,1,1,0.23466583,0.43592556,39.42531689,-75.0269489
28,223577,226434,223395,230493,553.8740816,198.9151225,15,1,2.140389412,5.00908063,33.39917778,-84.3263842
29,60550,87656,46101,134880,159.9405762,152.3822725,1,1,1.910170964,1.446457361,44.22227113,-75.02682165
30,52241,134985,52241,6380,46.89547764,18.55293326,1,1,0.235348075,0.424109444,44.91466437,-85.31890505
31,444373,443837,444727,445081,253.012088,276.201509,65,1,2.824209173,2.288169805,28.5316872,-99.41368437
32,474408,473693,473726,474256,289.101781,247.0675415,1,1,2.954141495,2.614554787,41.29376917,-122.3260781
33,7992,96499,6250,53009,392.0716382,282.3700067,1,1,3.603209892,3.545785069,45.24841091,-69.5069185
34,465079,460323,467524,463179,820.3592652,1120.037963,1,1,14.19856583,7.419097304,44.80331802,-115.0881019
