"lagoslakeid","net_id","net_dams_n","lake_nets_nearestdamdown_km","lake_nets_nearestdamup_km","lake_nets_totaldamup_n","lake_nets_totaldamdown_n","lake_nets_damonlake_flag","lake_nets_multidam_flag"
8056,33,286,NA,NA,0,0,"N","N"
19412,33,286,NA,NA,0,0,"N","N"
7956,33,286,NA,NA,0,0,"N","N"
68446,33,286,117.817,NA,0,1,"N","N"
7940,33,286,0,NA,0,2,"N","N"
140416,33,286,NA,NA,0,0,"N","N"
7667,33,286,NA,NA,0,0,"N","N"
71483,33,286,NA,NA,0,0,"N","N"
139363,33,286,NA,NA,0,0,"N","N"
49808,33,286,NA,NA,0,0,"N","N"
101589,33,286,NA,NA,0,0,"N","N"
48787,33,286,NA,NA,0,0,"N","N"
118054,33,286,NA,NA,0,0,"N","N"
57042,33,286,NA,NA,0,0,"N","N"
105724,33,286,NA,NA,0,0,"N","N"
130102,33,286,NA,NA,0,0,"N","N"
141376,33,286,NA,NA,0,0,"N","N"
25814,33,286,NA,NA,0,0,"N","N"
78878,33,286,NA,NA,0,0,"N","N"
101570,33,286,NA,NA,0,0,"N","N"
52999,33,286,NA,NA,0,0,"N","N"
134279,33,286,NA,NA,0,0,"N","N"
88272,33,286,165.467,NA,0,1,"N","N"
14206,33,286,NA,NA,0,0,"N","N"
49801,33,286,NA,NA,0,0,"N","N"
104659,33,286,NA,NA,0,0,"N","N"
140419,33,286,NA,NA,0,0,"N","N"
134277,33,286,NA,NA,0,0,"N","N"
13174,33,286,151.509,NA,0,1,"N","N"
7579,33,286,NA,NA,0,0,"N","N"
7777,33,286,NA,NA,0,0,"N","N"
78880,33,286,NA,NA,0,0,"N","N"
49803,33,286,NA,NA,0,0,"N","N"
104658,33,286,NA,NA,0,0,"N","N"
28862,33,286,NA,NA,0,0,"N","N"
8187,33,286,NA,NA,0,0,"N","N"
70478,33,286,NA,NA,0,0,"N","N"
32054,33,286,NA,NA,0,0,"N","N"
56030,33,286,NA,NA,0,0,"N","N"
140418,33,286,NA,NA,0,0,"N","N"
67448,33,286,140.973,NA,0,1,"N","N"
