"net_id","GAP12_ctr","GAP123_ctr","GAP12_80pct","GAP123_80pct","nHubs","GAP12_ctr_pct","GAP123_ctr_pct","GAP12_80pct_pct","GAP123_80pct_pct","edge_dens","artic_count","min_cut_lat","maxkmNS","net_lakes_n","net_averagelakedistance_km","net_rangeorder","net_dams_n","vert_btwn_centr_norm_mean","artic_pct","artic_pct_inv","DamRate","DamRate_inv","WSA9","PCconnall","net_GAP12_ctr_pct","net_GAP123_ctr_pct","net_GAP12_80pct_pct","net_GAP123_80pct_pct"
"10",9,14,3,7,71,12.68,19.72,4.23,9.86,0.246508373,661,1,505.3960943,2659,463.991,6,1099,0.000705461,0.248589695374201,0.751410304625799,0.413313275667544,0.586686724332456,"NAP",6.37576880893358,0.0530274539300489,0.117337344866491,0.119217751034223,0.158330199323054
"100",0,0,0,0,11,0,0,0,0,0.691929006,38,206,187.6708927,249,156.723,4,93,0.001488126,0.152610441767068,0.847389558232932,0.373493975903614,0.626506024096386,"CPL",5.12097885855434,0.00803212851405622,0.0120481927710843,0.00401606425702811,0.00803212851405622
"102",0,0,0,0,4,0,0,0,0,0.047730829,26,1,87.56730797,72,19.835,5,14,0.042454728,0.361111111111111,0.638888888888889,0.194444444444444,0.805555555555556,"NAP",1.63065365112499,0.0138888888888889,0.0277777777777778,0.0138888888888889,0.0277777777777778
"103",0,0,0,0,1,0,0,0,0,0.168091168,10,1,31.86647106,27,16.329,4,7,0.101424501,0.37037037037037,0.62962962962963,0.259259259259259,0.740740740740741,"CPL",1.03685265602292,0.037037037037037,0.037037037037037,0,0.0740740740740741
"104",0,0,0,0,1,0,0,0,0,0.235294118,9,1,36.13940422,17,36.546,4,14,0.112254902,0.529411764705882,0.470588235294118,0.823529411764706,0.176470588235294,"TPL",1.86500800058388,0.0588235294117647,0.117647058823529,0,0
"105",0,0,0,0,2,0,0,0,0,0.842857143,3,1,39.43475763,36,40.926,4,13,0.006255836,0.0833333333333333,0.916666666666667,0.361111111111111,0.638888888888889,"CPL",2.55506502426517,0.0555555555555556,0.222222222222222,0.0555555555555556,0.111111111111111
"106",NA,NA,NA,NA,0,NA,NA,NA,NA,0.133333333,13,1,29.30159456,15,2.277,3,0,0.333333333,0.866666666666667,0.133333333333333,0,1,"XER",4.23935626980514,0.0666666666666667,0.533333333333333,0,0.2
"108",NA,NA,NA,NA,0,NA,NA,NA,NA,0.4,3,1,14.51939625,5,6.402,1,5,0.333333333,0.6,0.4,1,0,"XER",3.37221330951966,1,1,0,0.8
"109",2,2,2,2,3,66.67,66.67,66.67,66.67,0.266968326,18,7,66.10771214,52,49.468,5,8,0.028084465,0.346153846153846,0.653846153846154,0.153846153846154,0.846153846153846,"WMT",1.16256022133009,0.673076923076923,0.711538461538462,0.673076923076923,0.711538461538462
"11",3,3,1,2,16,18.75,18.75,6.25,12.5,0.055266115,353,2,380.4055206,754,461.634,5,250,0.010299112,0.46816976127321,0.53183023872679,0.331564986737401,0.668435013262599,"UMW",2.39953717458179,0.171087533156499,0.238726790450928,0.0331564986737401,0.0437665782493369
"110",0,0,0,0,8,0,0,0,0,0.028968135,82,1,67.97372994,142,15.871,5,31,0.04961685,0.577464788732394,0.422535211267606,0.21830985915493,0.78169014084507,"UMW",2.18520202473721,0.0422535211267606,0.154929577464789,0,0
"111",0,0,0,0,1,0,0,0,0,0.267973856,5,1,54.53397882,18,24.303,5,12,0.065359477,0.277777777777778,0.722222222222222,0.666666666666667,0.333333333333333,"WMT",1.12659672964107,0.0555555555555556,0.0555555555555556,0.166666666666667,0.166666666666667
"112",NA,NA,NA,NA,0,NA,NA,NA,NA,1,0,4,17.39482092,5,46.563,3,9,0,0,1,1.8,-0.8,"TPL",5.2579132113152,0.2,0.2,0,0
"113",NA,NA,NA,NA,0,NA,NA,NA,NA,0.533333333,3,1,30.27655102,10,24.611,4,0,0.083333333,0.3,0.7,0,1,"CPL",1.33216584641484,0.3,0.3,0.2,0.2
"114",0,0,0,0,3,0,0,0,0,0.079183673,24,2,41.64065495,50,44.149,4,20,0.093044218,0.48,0.52,0.4,0.6,"UMW",1.54831605893371,0,0.06,0,0
"115",2,2,0,0,2,100,100,0,0,0.102682701,23,5,35.96636603,47,18.131,4,1,0.086771508,0.48936170212766,0.51063829787234,0.0212765957446809,0.978723404255319,"UMW",1.83760040186179,0.361702127659574,0.361702127659574,0.319148936170213,0.319148936170213
"117",0,0,0,0,4,0,0,0,0,0.257653061,12,1,97.05337443,49,42.695,6,10,0.028459256,0.244897959183673,0.755102040816326,0.204081632653061,0.795918367346939,"UMW",1.22224530204948,0.0816326530612245,0.183673469387755,0.0612244897959184,0.0612244897959184
"118",0,1,0,1,1,0,100,0,100,0.582010582,4,1,82.27943894,28,95.114,5,31,0.02014652,0.142857142857143,0.857142857142857,1.10714285714286,-0.107142857142857,"WMT",2.64630198516334,0.214285714285714,0.428571428571429,0.107142857142857,0.464285714285714
"119",0,1,0,1,3,0,33.33,0,33.33,0.141414141,13,2,220.237668,45,85.409,6,55,0.057810665,0.288888888888889,0.711111111111111,1.22222222222222,-0.222222222222222,"WMT",2.67634014437769,0.0222222222222222,0.4,0.0222222222222222,0.555555555555556
"120",1,1,0,0,7,14.29,14.29,0,0,0.087981147,42,1,73.69452811,134,34.788,5,72,0.021662875,0.313432835820896,0.686567164179104,0.537313432835821,0.462686567164179,"NAP",1.55141063715304,0.0373134328358209,0.156716417910448,0,0.0373134328358209
"122",1,1,0,0,1,100,100,0,0,0.393162393,5,4,90.12543529,27,65.892,5,12,0.02951567,0.185185185185185,0.814814814814815,0.444444444444444,0.555555555555556,"XER",1.20115553324484,0.111111111111111,0.222222222222222,0.0740740740740741,0.0740740740740741
"123",1,2,0,0,3,33.33,66.67,0,0,0.180668473,29,30,63.8221928,82,76.126,5,18,0.029938272,0.353658536585366,0.646341463414634,0.219512195121951,0.780487804878049,"UMW",1.34330352992466,0.378048780487805,0.463414634146341,0.439024390243902,0.439024390243902
"125",0,0,0,0,1,0,0,0,0,0.488888889,2,1,10.53264413,10,21.63,2,3,0.072222222,0.2,0.8,0.3,0.7,"NAP",1.02601399101937,0,0.3,0.3,0.3
"126",0,0,0,0,10,0,0,0,0,0.300916276,31,80,110.7962505,304,81.482,6,69,0.004116282,0.101973684210526,0.898026315789474,0.226973684210526,0.773026315789474,"SAP",2.51346321369891,0.00328947368421053,0.00328947368421053,0,0
"127",NA,NA,NA,NA,0,NA,NA,NA,NA,0.549425287,8,21,36.87930692,30,86.548,5,6,0.022660099,0.266666666666667,0.733333333333333,0.2,0.8,"UMW",1.30298642313901,0.0333333333333333,0.0666666666666667,0,0
"129",NA,NA,NA,NA,0,NA,NA,NA,NA,0.577075099,3,16,45.87526519,23,58.676,3,23,0.022209674,0.130434782608696,0.869565217391304,1,0,"CPL",2.43260062299208,0.0869565217391304,0.217391304347826,0.0434782608695652,0.0434782608695652
"13",0,2,0,0,10,0,20,0,0,0.128277545,87,1,119.2570329,240,122.384,6,26,0.012696166,0.3625,0.6375,0.108333333333333,0.891666666666667,"UMW",1.6575060419771,0.00416666666666667,0.308333333333333,0,0.0125
"130",1,1,0,0,3,33.33,33.33,0,0,0.17979798,19,13,42.36750175,45,61.623,4,7,0.04756871,0.422222222222222,0.577777777777778,0.155555555555556,0.844444444444444,"UMW",1.35352634645324,0.266666666666667,0.288888888888889,0.4,0.4
"132",0,3,1,3,4,0,75,25,75,0.043440637,57,1,206.6411583,108,43.051,6,12,0.039822489,0.527777777777778,0.472222222222222,0.111111111111111,0.888888888888889,"WMT",2.08919419369192,0.712962962962963,0.972222222222222,0.787037037037037,0.953703703703704
"133",0,0,0,0,7,0,0,0,0,0.626682987,30,135,97.06989581,172,93.069,2,35,0.004023968,0.174418604651163,0.825581395348837,0.203488372093023,0.796511627906977,"CPL",3.50677495842289,0.00581395348837209,0.0116279069767442,0,0.0116279069767442
"134",0,0,0,0,1,0,0,0,0,0.264102564,11,1,70.37510176,40,43.912,6,40,0.069197031,0.275,0.725,1,0,"XER",1.9278958518207,0.05,0.425,0.025,0.15
"135",0,0,0,0,1,0,0,0,0,0.286231884,9,11,33.3215659,24,26.357,4,6,0.058465086,0.375,0.625,0.25,0.75,"NAP",0.831826640231944,0,0.166666666666667,0.0833333333333333,0.0833333333333333
"136",0,0,0,0,1,0,0,0,0,0.828571429,1,18,101.5683874,21,80.306,4,30,0.009022556,0.0476190476190476,0.952380952380952,1.42857142857143,-0.428571428571429,"XER",3.99962073733383,0.0476190476190476,0.0952380952380952,0,0
"137",0,0,0,0,1,0,0,0,0,0.5,1,1,8.830642042,5,13.706,4,2,0.166666667,0.2,0.8,0.4,0.6,"XER",1.15913525248191,0.2,0.2,0.2,0.4
"139",0,0,0,0,10,0,0,0,0,0.227989613,50,13,194.8406151,271,204.245,6,162,0.006222104,0.18450184501845,0.81549815498155,0.597785977859779,0.402214022140221,"NAP",1.63473900992489,0.022140221402214,0.0701107011070111,0.022140221402214,0.025830258302583
"14",0,2,0,1,3,0,66.67,0,33.33,0.058653846,26,6,143.1110167,65,30.006,5,28,0.047229853,0.4,0.6,0.430769230769231,0.569230769230769,"WMT",1.51909083562713,0.446153846153846,0.769230769230769,0.384615384615385,0.8
"140",0,1,0,1,3,0,33.33,0,33.33,0.119512195,13,1,120.0043929,41,36.843,6,56,0.053377111,0.317073170731707,0.682926829268293,1.36585365853659,-0.365853658536585,"WMT",3.0848298183292,0.121951219512195,0.48780487804878,0.121951219512195,0.48780487804878
