"net_id","net_lakes_n","net_averagelakedistance_km","net_averagelakearea_ha","net_dams_n","net_avgorder","net_maxorder","net_minorder","net_rangeorder","vertices_count","edges_count","artic_count","max_cliques","mean_degree_norm","far_vert_1","far_vert_2","far_vert_dist","edge_conn","edge_dens","min_cut","far_min_cut","strength","minlat_id","maxlat_id","minlon_id","maxlon_id","maxkmNS","maxkmEW","min_cut_lat","min_cut_lon","maxlon_dist","maxlat_dist","latavg","lonavg"
33,1731,131.802,126.637,286,1,6,0,6,1731,29994,565,881,0.020031857,5933,130102,1275.396,1,0.020031857,1,1,4580.589187,7992,96499,6250,53009,392.0716382,282.3700067,1,1,3.603209892,3.545785069,45.24841091,-69.5069185
359,18,22.777,40.508,2,1,4,0,4,18,53,5,6,0.346405229,105728,32057,57.766,1,0.346405229,1,7,134.1328889,105728,16222,37242,16222,24.91893187,18.05701773,7,1,0.234261932,0.225359776,46.17755889,-67.89538468
154,15,17.576,17.435,5,1,4,0,4,15,50,4,6,0.476190476,70480,19415,40.657,1,0.476190476,1,1,117.1764,70480,46688,63295,27833,29.65320004,9.639286929,1,9,0.125822023,0.268175159,46.51190663,-67.90170295
280,14,30.33,7.353,0,0,2,0,2,14,79,1,2,0.868131868,73534,72490,56.948,1,0.868131868,1,12,342.301,45643,18317,73534,72490,19.51908774,19.31642467,12,12,0.251487176,0.176525112,46.37105048,-68.00602655
833,3,8.876,4.792,0,0,1,0,1,3,2,1,2,0.666666667,7741,44682,17.753,1,0.666666667,1,1,11.83533333,44682,7741,44682,98541,11.53205353,1.238545614,1,1,0.016133839,0.104292632,46.4008132,-67.87085057
87,181,29.192,124.722,18,1,5,0,5,181,590,73,106,0.036218539,33063,7524,193.513,1,0.036218539,1,1,190.3108066,8143,23769,7634,112951,74.97071884,100.7124878,1,1,1.272489204,0.678013989,44.68462134,-68.34118842
282,5,0.356,27.748,0,1,1,0,1,5,4,3,4,0.4,129009,123382,1.426,1,0.4,1,1,0.5704,123382,129009,129009,123382,3.05107636,2.59015049,1,1,0.03311828,0.027593072,45.36690626,-69.40361553
759,2,1.065,31.478,0,0,1,0,1,2,1,0,1,1,121310,120236,1.065,1,1,1,1,1.065,121310,120236,120236,121310,1.377191328,0.62515312,1,1,0.008026078,0.012454929,45.59706472,-69.26844045
455,12,4.083,95.334,1,1,2,0,2,12,14,4,9,0.212121212,8195,18337,19.186,1,0.212121212,1,1,9.526333333,18342,7477,8248,7477,19.5759839,4.615949328,1,1,0.05765188,0.177039665,44.00788589,-69.47009986
415,4,2.549,157.041,5,2,2,1,1,4,3,2,3,0.5,8382,8139,7.648,1,0.5,1,1,3.824,8139,8382,8139,8382,11.1816971,2.004852502,1,1,0.025251929,0.101124108,44.50340985,-68.99520833
