"","WSA9","protection","n"
"1","CPL","GAP12_ctr_pct",88
"2","CPL","GAP123_ctr_pct",106
"3","CPL","GAP12_80pct_pct",21
"4","CPL","GAP123_80pct_pct",28
"5","NAP","GAP12_ctr_pct",29
"6","NAP","GAP123_ctr_pct",73
"7","NAP","GAP12_80pct_pct",15
"8","NAP","GAP123_80pct_pct",26
"9","NPL","GAP12_ctr_pct",11
"10","NPL","GAP123_ctr_pct",15
"11","NPL","GAP12_80pct_pct",1
"12","NPL","GAP123_80pct_pct",3
"13","SAP","GAP123_ctr_pct",3
"14","SPL","GAP12_ctr_pct",1
"15","SPL","GAP123_ctr_pct",1
"16","SPL","GAP123_80pct_pct",1
"17","TPL","GAP12_ctr_pct",16
"18","TPL","GAP123_ctr_pct",23
"19","TPL","GAP12_80pct_pct",2
"20","TPL","GAP123_80pct_pct",2
"21","UMW","GAP12_ctr_pct",35
"22","UMW","GAP123_ctr_pct",75
"23","UMW","GAP12_80pct_pct",39
"24","UMW","GAP123_80pct_pct",52
"25","WMT","GAP12_ctr_pct",41
"26","WMT","GAP123_ctr_pct",67
"27","WMT","GAP12_80pct_pct",31
"28","WMT","GAP123_80pct_pct",53
"29","XER","GAP12_ctr_pct",20
"30","XER","GAP123_ctr_pct",64
"31","XER","GAP12_80pct_pct",11
"32","XER","GAP123_80pct_pct",39
