"","WSA9","protection","MinMedianMax"
"1","CPL","GAP12_ctr_pct","(0), (0), (100)"
"2","NAP","GAP12_ctr_pct","(0), (0), (100)"
"3","NPL","GAP12_ctr_pct","(0), (0), (66.67)"
"4","SAP","GAP12_ctr_pct","(0), (2.365), (16.67)"
"5","SPL","GAP12_ctr_pct","(0), (0), (17.16)"
"6","TPL","GAP12_ctr_pct","(0), (0), (100)"
"7","UMW","GAP12_ctr_pct","(0), (0), (100)"
"8","WMT","GAP12_ctr_pct","(0), (0), (100)"
"9","XER","GAP12_ctr_pct","(0), (0), (100)"
"10","CPL","GAP123_ctr_pct","(0), (4.54), (100)"
"11","NAP","GAP123_ctr_pct","(0), (4.485), (100)"
"12","NPL","GAP123_ctr_pct","(0), (25), (75)"
"13","SAP","GAP123_ctr_pct","(0.33), (7.375), (54.55)"
"14","SPL","GAP123_ctr_pct","(0), (0), (30.41)"
"15","TPL","GAP123_ctr_pct","(0), (0), (100)"
"16","UMW","GAP123_ctr_pct","(0), (17.52), (100)"
"17","WMT","GAP123_ctr_pct","(0), (45.82), (100)"
"18","XER","GAP123_ctr_pct","(0), (50), (100)"
"19","CPL","GAP12_80pct_pct","(0), (0), (100)"
"20","NAP","GAP12_80pct_pct","(0), (0), (100)"
"21","NPL","GAP12_80pct_pct","(0), (0), (25)"
"22","SAP","GAP12_80pct_pct","(0), (0), (5.48)"
"23","SPL","GAP12_80pct_pct","(0), (0), (11.19)"
"24","TPL","GAP12_80pct_pct","(0), (0), (33.33)"
"25","UMW","GAP12_80pct_pct","(0), (0), (100)"
"26","WMT","GAP12_80pct_pct","(0), (0), (100)"
"27","XER","GAP12_80pct_pct","(0), (0), (100)"
"28","CPL","GAP123_80pct_pct","(0), (0), (100)"
"29","NAP","GAP123_80pct_pct","(0), (0), (100)"
"30","NPL","GAP123_80pct_pct","(0), (0), (100)"
"31","SAP","GAP123_80pct_pct","(0), (0.085), (10)"
"32","SPL","GAP123_80pct_pct","(0), (0), (30.04)"
"33","TPL","GAP123_80pct_pct","(0), (0), (33.33)"
"34","UMW","GAP123_80pct_pct","(0), (0), (100)"
"35","WMT","GAP123_80pct_pct","(0), (16.67), (100)"
"36","XER","GAP123_80pct_pct","(0), (9.26), (100)"
